"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","95","87","8","21","39.08066142697204","10","39.08066142697204"
"1","20","79","99","11","18","34.334891778117765","10","34.334891778117765"
"1","30","49","69","15","11","1.7321634325229034","10","1.7321634325229034"
"1","40","74","57","8","19","4.092200557170976","10","1.7321634325229034"
"1","50","80","67","15","20","25.98994635272764","10","1.7321634325229034"
"1","60","96","60","15","5","26.263151187409868","10","1.7321634325229034"
"1","70","81","59","19","15","13.472711173516766","10","1.7321634325229034"
"1","80","42","66","22","16","1.6530311966569975","10","1.6530311966569975"
"1","90","58","93","5","12","7.4457561221389055","10","1.6530311966569975"
"1","100","97","76","25","24","39.559130727830585","10","1.6530311966569975"
"1","110","59","42","24","21","1.3244366780354688","10","1.3244366780354688"
"1","120","81","72","16","10","26.77863507073033","10","1.3244366780354688"
"1","130","78","94","20","6","33.6953780234293","10","1.3244366780354688"
"1","140","96","84","14","13","38.65265966410799","10","1.3244366780354688"
"1","150","73","40","19","13","1.2222506818062553","10","1.2222506818062553"
"1","160","91","85","10","5","35.63428968131201","10","1.2222506818062553"
"1","170","71","81","5","15","23.20152150876242","10","1.2222506818062553"
"1","180","65","42","18","24","1.4947899019907183","10","1.2222506818062553"
"1","190","72","80","11","13","24.046074360750204","10","1.2222506818062553"
"1","200","83","40","23","19","2.123541589505127","10","1.2222506818062553"
"1","210","55","88","22","17","3.979817441690386","10","1.2222506818062553"
"1","220","73","55","9","10","2.305677347227858","10","1.2222506818062553"
"1","230","86","78","9","24","36.28867088439043","10","1.2222506818062553"
"1","240","74","75","5","24","27.26438900778289","10","1.2222506818062553"
"1","250","42","99","15","13","2.2290404975957134","10","1.2222506818062553"
"1","260","62","90","7","18","12.601826041049712","10","1.2222506818062553"
"1","270","88","87","19","22","37.03444585886247","10","1.2222506818062553"
"1","280","75","66","15","18","15.17839983101968","10","1.2222506818062553"
"1","290","91","59","11","5","20.252684574791868","10","1.2222506818062553"
"1","300","77","81","10","20","32.18355044143876","10","1.2222506818062553"
